
# Surface 0 of 2 surfaces

# Curve title: "datafile u ($3 < 0 ? $1 : 1/0):2:4"

# Contour 0, label:     -0.5
 0.41  8.52668 -1 
 0.39  8.52668 -1 
 0.37  8.52668 -1 
 0.35  8.52668 -1 
 0.33  8.52668 -1 
 0.31  8.52668 -1 
 0.29  8.52668 -1 
 0.27  8.52668 -1 
 0.25  8.52668 -1 
 0.23  8.52668 -1 
 0.21  8.52668 -1 
 0.19  8.52668 -1 
 0.17  8.52668 -1 
 0.15  8.52668 -1 
 0.13  8.52668 -1 
 0.11  8.52668 -1 
 0.09  8.52668 -1 
 0.07  8.52668 -1 
 0.05  8.52668 -1 
 0.03  8.52668 -1 
 0.01  8.52668 -1 


# Contour 2, label:     -1.5
 0.99  7.61863 -1.5 
 0.97  7.61863 -1.5 
 0.95  7.61863 -1.5 
 0.93  7.61863 -1.5 
 0.91  7.61863 -1.5 
 0.89  7.61863 -1.5 
 0.87  7.61863 -1.5 
 0.85  7.61863 -1.5 
 0.83  7.61863 -1.5 
 0.81  7.61863 -1.5 
 0.79  7.61863 -1.5 
 0.77  7.61863 -1.5 
 0.75  7.61863 -1.5 
 0.73  7.61863 -1.5 
 0.71  7.61863 -1.5 
 0.69  7.61863 -1.5 
 0.67  7.61863 -1.5 
 0.65  7.61863 -1.5 
 0.63  7.61863 -1.5 
 0.61  7.61863 -1.5 
 0.59  7.61863 -1.5 
 0.57  7.61863 -1.5 
 0.55  7.61863 -1.5 
 0.53  7.61863 -1.5 
 0.51  7.61863 -1.5 
 0.49  7.61863 -1.5 
 0.47  7.61863 -1.5 
 0.45  7.61863 -1.5 
 0.43  7.61863 -1.5 
 0.41  7.61863 -1.5 
 0.39  7.61863 -1.5 
 0.37  7.61863 -1.5 
 0.35  7.61863 -1.5 
 0.33  7.61863 -1.5 
 0.31  7.61863 -1.5 
 0.29  7.61863 -1.5 
 0.27  7.61863 -1.5 
 0.25  7.61863 -1.5 
 0.23  7.61863 -1.5 
 0.21  7.61863 -1.5 
 0.19  7.61863 -1.5 
 0.17  7.61863 -1.5 
 0.15  7.61863 -1.5 
 0.13  7.61863 -1.5 
 0.11  7.61863 -1.5 
 0.09  7.61863 -1.5 
 0.07  7.61863 -1.5 
 0.05  7.61863 -1.5 
 0.03  7.61863 -1.5 
 0.01  7.61863 -1.5 


# Contour 3, label:       -2
 0.99  6.96167 -2 
 0.97  6.96167 -2 
 0.95  6.96167 -2 
 0.93  6.96167 -2 
 0.91  6.96167 -2 
